step,klcoef,lr,rollout_time,horizon,speed,speed_rl,speed_rl_std,speed_human,inflow,outflow,inflow_hourly,outflow_hourly,collisions,collisions_human,fuel,backlog_step,n_total_veh_step,flow_horizontal,flow_vertical,raw_reward_mean,raw_reward_sum,reward_mean,reward_sum,n_veh_step_mean,n_veh_step_sum,n_veh_unique,policy_loss,kl,entropy,gd_time,total_time
51,0,0.001,8.98479,2000,3.37904,3.17054,3.46469,3.41842,548,511,1972.8,1839.6,2,2,1360.6,11.269,48.254,700,700,0.2505,501,0.00850736,17.0147,5.8725,11745,83,-0.99016,7.10937e-11,0.567299,0.0548961,496.306
52,0,0.001,9.36222,2000,2.98494,2.8335,3.27166,3.01285,526,489,1893.6,1760.4,2,2,1423.97,22.736,62.8125,700,700,0.2395,479,0.00576971,11.5394,6.233,12466,79,-0.761724,-9.84079e-10,0.537511,0.051316,505.944
53,0,0.001,8.70906,2000,3.25914,3.09573,3.43474,3.2894,523,490,1882.8,1764,6,5,1513.12,25.132,61.692,700,700,0.23,460,0.00332144,6.64288,5.711,11422,80,-0.729991,-9.85472e-11,0.547265,0.0507841,514.93
54,0,0.001,9.68812,2000,2.8557,2.74188,3.18593,2.87663,516,482,1857.6,1735.2,2,2,1435.12,24.5265,65.8195,700,700,0.236,472,0.00471413,9.42826,6.4115,12823,79,-0.594281,-4.96365e-10,0.492907,0.0539069,524.899
55,0,0.001,8.42929,2000,3.31723,3.16091,3.55268,3.34626,521,488,1875.6,1756.8,2,2,1376.28,22.28,57.9895,700,700,0.239,478,0.00534812,10.6962,5.59,11180,79,-0.641645,1.40833e-10,0.44362,0.0523582,533.608
56,0,0.001,8.936,2000,3.24191,3.08282,3.39387,3.27149,542,505,1951.2,1818,4,4,1361.64,16.4615,54.6475,700,700,0.2425,485,0.00607525,12.1505,5.985,11970,83,-0.891328,4.9688e-10,0.44262,0.0548458,542.831
57,0,0.001,9.78769,2000,2.90445,2.77608,3.18077,2.92815,529,493,1904.4,1774.8,2,2,1392.48,19.3995,60.864,700,700,0.2415,483,0.00575132,11.5026,6.459,12918,81,-0.694437,5.13701e-10,0.50009,0.0554953,552.927
58,0,0.001,9.0207,2000,3.09866,2.94931,3.3026,3.12638,527,491,1897.2,1767.6,2,2,1394.36,21.1865,60.1345,700,700,0.2405,481,0.00543654,10.8731,6.095,12190,81,-0.682935,2.43403e-10,0.482346,0.050571,562.225
59,0,0.001,8.24997,2000,3.66903,3.43437,3.59787,3.7136,557,526,2005.2,1893.6,4,4,1526.54,7.413,42.18,700,700,0.253,506,0.00831459,16.6292,5.5475,11095,86,-1.05747,1.27897e-10,0.486845,0.0507979,570.748
60,0,0.001,8.97341,2000,3.29204,3.10412,3.37121,3.32718,552,515,1987.2,1854,0,0,1289.06,10.3655,48.6465,700,700,0.2575,515,0.00929402,18.588,6.0275,12055,84,-0.928173,4.72159e-10,0.43712,0.0518148,580.019
61,0,0.001,8.68386,2000,3.27848,3.13439,3.50064,3.3051,524,492,1886.4,1771.2,2,2,1376.28,22.583,58.866,700,700,0.241,482,0.00522593,10.4519,5.6565,11313,81,-0.637868,-4.23552e-10,0.348901,0.0501003,588.993
62,0,0.001,9.48472,2000,3.17075,3.03317,3.31823,3.19611,550,513,1980,1846.8,2,2,1365.01,11.006,50.663,700,700,0.2515,503,0.00769781,15.3956,6.169,12338,85,-0.912498,1.21123e-09,0.339028,0.0517609,598.757
63,0,0.001,9.4188,2000,2.96314,2.86251,3.23586,2.98164,533,487,1918.8,1753.2,8,8,1293.1,16.785,57.252,700,700,0.2235,447,0.000714944,1.42989,6.2815,12563,82,-0.615751,-6.03523e-10,0.320839,0.0538199,608.463
64,0,0.001,8.0973,2000,3.76566,3.57351,3.75424,3.80156,545,515,1962,1854,2,2,1411.13,10.568,43.6395,700,700,0.2525,505,0.00765535,15.3107,5.204,10408,84,-0.854725,-3.56376e-10,0.336617,0.0507281,616.835
65,0,0.001,8.26193,2000,3.59167,3.40937,3.63834,3.62586,549,512,1976.4,1843.2,2,2,1229.09,10.5825,45.346,700,700,0.251,502,0.00721144,14.4229,5.489,10978,86,-0.7836,3.39078e-10,0.294681,0.051244,625.375
66,0,0.001,8.52884,2000,3.45695,3.29777,3.57229,3.48635,539,507,1940.4,1825.2,0,0,1329.3,15.113,50.7095,700,700,0.2535,507,0.00773782,15.4756,5.548,11096,83,-0.742098,-1.33414e-09,0.30699,0.049629,634.181
67,0,0.001,9.50286,2000,3.09531,2.95948,3.27885,3.12027,539,501,1940.4,1803.6,2,2,1344.7,19.779,59.395,700,700,0.2455,491,0.00575146,11.5029,6.1465,12293,82,-0.753997,-2.05762e-10,0.312606,0.0527718,643.966
68,0,0.001,8.43507,2000,3.64365,3.44035,3.57004,3.68195,561,531,2019.6,1911.6,2,2,1493.01,7.433,42.8995,700,700,0.2605,521,0.00930233,18.6047,5.621,11242,86,-1.07514,-9.51122e-10,0.333987,0.050493,652.677
