step,klcoef,lr,rollout_time,horizon,speed,speed_rl,speed_rl_std,speed_human,inflow,outflow,inflow_hourly,outflow_hourly,collisions,collisions_human,fuel,backlog_step,n_total_veh_step,flow_horizontal,flow_vertical,raw_reward_mean,raw_reward_sum,reward_mean,reward_sum,n_veh_step_mean,n_veh_step_sum,n_veh_unique,policy_loss,kl,entropy,gd_time,total_time
60,0,0.001,8.41178,2000,3.26661,2.98591,3.01642,3.32077,518,481,1864.8,1731.6,2,2,1341.14,25.6605,61.49,700,700,0.2355,471,0.00584666,11.6933,5.7915,11583,77,-0.661809,-1.21305e-09,0.942474,0.0520267,521.706
61,0,0.001,8.50055,2000,3.24104,2.98749,2.99014,3.29002,514,484,1850.4,1742.4,2,2,1513.02,28.927,65.2225,700,700,0.237,474,0.00609041,12.1808,5.874,11748,80,-0.694651,-8.88413e-10,0.935977,0.052928,530.476
62,0,0.001,8.74403,2000,3.20689,2.91066,2.93875,3.26466,515,478,1854,1720.8,2,2,1366.2,26.9185,63.158,700,700,0.234,468,0.00542902,10.858,5.911,11822,76,-0.648923,-6.52611e-10,0.937876,0.0520258,539.491
63,0,0.001,7.58872,2000,3.82576,3.43415,3.27284,3.9031,526,495,1893.6,1782,10,8,1786.24,22.226,53.708,700,700,0.2225,445,0.00305125,6.1025,5.1905,10381,80,-0.356047,-7.36903e-10,0.928506,0.0467417,547.327
64,0,0.001,8.76965,2000,2.97139,2.68942,2.78102,3.02707,492,459,1771.2,1652.4,2,2,1414.31,35.284,73.1465,700,700,0.2245,449,0.00341564,6.83129,6.2415,12483,77,-0.421433,-2.12365e-10,0.983148,0.0534689,556.37
65,0,0.001,8.49723,2000,3.10401,2.80344,2.85784,3.16247,497,467,1789.2,1681.2,0,0,1492.99,35.503,72.1575,700,700,0.2335,467,0.0051703,10.3406,5.9655,11931,75,-0.497788,1.30659e-09,0.974711,0.0500801,565.14
66,0,0.001,7.63125,2000,3.76332,3.38295,3.16433,3.8391,521,498,1875.6,1792.8,2,2,1677.02,25.8165,57.5835,700,700,0.244,488,0.00723119,14.4624,5.276,10552,81,-0.819849,-3.2989e-10,0.955082,0.0484898,573.025
67,0,0.001,7.96974,2000,3.59786,3.24578,3.14061,3.66685,510,481,1836,1731.6,4,4,1634.75,31.0105,63.279,700,700,0.2305,461,0.00444051,8.88103,5.2845,10569,76,-0.704399,-4.25428e-10,0.945483,0.0463128,581.255
68,0,0.001,8.1298,2000,3.32375,3.0133,3.07549,3.38488,504,467,1814.4,1681.2,4,4,1347.31,32.894,67.1865,700,700,0.2235,447,0.00296914,5.93829,5.6385,11277,76,-0.511354,3.78057e-11,0.969062,0.0514762,589.657
69,0,0.001,8.54859,2000,3.15293,2.86523,2.87278,3.2087,501,469,1803.6,1688.4,4,2,1573.72,34.9615,71.338,700,700,0.2245,449,0.00315312,6.30623,5.9045,11809,78,-0.487551,-5.76696e-10,0.961871,0.0526898,598.474
70,0,0.001,7.22316,2000,3.9032,3.40439,3.27812,4.00478,512,476,1843.2,1713.6,12,9,1509.62,28.3955,58.185,700,700,0.208,416,-0.000223776,-0.447553,5.0385,10077,79,-0.131394,3.42283e-10,0.970863,0.047106,605.973
71,0,0.001,7.98221,2000,3.48926,3.16214,3.11627,3.55398,514,484,1850.4,1742.4,0,0,1379.37,27.678,61.368,700,700,0.242,484,0.00663508,13.2702,5.5625,11125,79,-0.61965,5.73648e-10,0.978691,0.0477519,614.217
72,0,0.001,8.07856,2000,3.45991,3.12691,3.06546,3.52435,520,490,1872,1764,4,2,1582.6,23.8735,58.3245,700,700,0.235,470,0.00517136,10.3427,5.5835,11167,79,-0.644307,-2.83385e-10,0.948133,0.0509748,622.563
73,0,0.001,8.88356,2000,3.206,2.94834,2.97448,3.25517,517,489,1861.2,1760.4,2,1,1570.58,25.0315,62.149,700,700,0.2395,479,0.00603295,12.0659,5.9465,11893,80,-0.553821,-1.12056e-09,0.946573,0.0513577,631.711
74,0,0.001,7.83148,2000,3.68418,3.37198,3.29195,3.7454,524,492,1886.4,1771.2,6,5,1563.78,27.042,59.437,700,700,0.231,462,0.00424802,8.49603,5.309,10618,82,-0.582081,-6.47509e-10,0.914991,0.0476849,639.805
75,0,0.001,7.0807,2000,4.12802,3.69057,3.41802,4.21615,526,497,1893.6,1789.2,6,5,1655.48,20.915,50.057,700,700,0.2335,467,0.00469798,9.39596,4.8855,9771,80,-0.694641,5.31486e-11,0.947527,0.046284,647.138
76,0,0.001,7.5192,2000,4.02777,3.55584,3.33561,4.12155,525,498,1890,1792.8,8,5,1722.88,25.16,54.8405,700,700,0.229,458,0.00371362,7.42724,4.9185,9837,82,-0.448738,-1.02373e-09,0.944297,0.0484352,654.92
77,0,0.001,7.69641,2000,3.60393,3.1969,3.21116,3.68631,502,466,1807.2,1677.6,10,9,1433.71,32.361,63.884,700,700,0.208,416,-0.000656584,-1.31317,5.3045,10609,78,-0.343937,1.59858e-10,0.962832,0.0472729,662.882
78,0,0.001,8.33071,2000,3.35828,2.96038,2.97308,3.43753,505,476,1818,1713.6,4,2,1619.89,30.0275,64.3595,700,700,0.228,456,0.00346473,6.92945,5.6995,11399,77,-0.397706,8.68679e-11,0.978902,0.048564,671.473
79,0,0.001,7.54685,2000,3.72539,3.26094,3.11662,3.81961,509,482,1832.4,1735.2,6,4,1709.63,30.2995,61.6295,700,700,0.226,452,0.00301826,6.03651,5.282,10564,78,-0.418,-6.15915e-10,0.970375,0.0496571,679.275
80,0,0.001,7.06091,2000,4.08772,3.58097,3.29812,4.19029,528,486,1900.8,1749.6,16,14,1479.72,22.1445,51.0265,700,700,0.203,406,-0.00176046,-3.52093,4.8585,9717,80,-0.0607406,4.04821e-10,0.96607,0.0490229,686.616
81,0,0.001,7.64483,2000,3.66141,3.29995,3.11659,3.7337,515,485,1854,1746,4,4,1551.1,29.758,61.715,700,700,0.2325,465,0.00431228,8.62456,5.325,10650,80,-0.657375,2.18362e-10,0.974261,0.0457389,694.516
82,0,0.001,8.44956,2000,3.21856,2.91319,2.89319,3.27883,505,473,1818,1702.8,2,2,1482.2,32.022,67.758,700,700,0.2315,463,0.00406638,8.13276,5.888,11776,77,-0.53012,8.47645e-11,0.970949,0.0518873,703.236
83,0,0.001,8.47075,2000,3.23259,2.92699,2.89236,3.29281,510,479,1836,1724.4,0,0,1423.29,30.8475,66.732,700,700,0.2395,479,0.00567519,11.3504,5.9055,11811,78,-0.550129,-2.00039e-10,0.974615,0.0509758,711.976
84,0,0.001,8.52028,2000,3.31448,2.96998,2.84953,3.38292,508,479,1828.8,1724.4,0,0,1439.69,30.7835,66.0445,700,700,0.2395,479,0.00563379,11.2676,5.842,11684,77,-0.541713,-1.10965e-09,0.978827,0.0512571,720.769
85,0,0.001,8.50162,2000,3.10741,2.83667,2.90991,3.15996,505,466,1818,1677.6,6,4,1371.64,32.1485,68.9765,700,700,0.218,436,0.0011328,2.26559,5.9835,11967,78,-0.335752,2.48051e-10,0.95749,0.0513721,729.547
